Sample,C,H,O,N,S,P,Calculated.m.z,AI,AI_Mod,DBE_1,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,delGcox0,delGd0,delGcat0,delGan0,delGdis0,lambda0,delGcox,delGd,delGcat,delGan,delGdis,lambda,Dataset,global_dataset,sampleName,coreMSname,type,date_utc_YYYYMMDD,Latitude,Longitude,depth_m,N_mgL,N_species,N_value2,N_species2,N_units2,N_value3,N_species3,N_units3,N_value4,N_species4,N_units4,P_pool,P_species,P_units,C_mgL,C_species,GHG,GHG_species,GHG_units,DO_mgL,BDOC_%_mean,BDOC_sd,chla_ugL,bacterial_activity,bact_act_units,Respiration_mgDO_hr_L_sediment,Extraction_Efficiency(%;assumed_or_measured),Instrument(t),TARGET_carbon_normalization(ugCL-1)
STL_0012_ICR.1_p08.corems,17.485272599199,23.6660245998423,8.30928874524634,0.136370220752835,0.125284723040064,0,371.488785068343,0.0178375401236464,0.188167997977484,6.72044540965418,-1.58884333559216,-1.85049827938506,70.1038890396413,371.073961622623,0.282248319369708,-0.343996106654082,0.485540511100504,1.35458725365783,0.00830729465982507,0,70.1038890396413,1236.41329726051,-8131.04572688532,-18.2195000106662,476.063310530904,0.0609825172736317,-143.368814091331,-2511.37884890719,-8829.20666109792,-27.4746965586357,465.326996125723,0.0534881265038229,STL,STL,STL_0012_ICR-1,STL_0012_ICR.1_p08.corems,river,20210723,44.5815,-75.679,,,,,,,,,,,,,,,,3.48,NPOC,,,,,,,,,,,,,
STL_0012_ICR.2_p1.corems,17.018174312568,22.792167092923,8.52478924232697,0.217331844757565,0.0939316278333512,0,368.581110430938,0.019887763312395,0.189996261924035,6.73075668848523,-1.79403255384176,-2.10529602643267,68.0149173182806,368.169539385772,0.285805252470711,-0.270698853273003,0.511429890165099,1.34648730733638,0.0139089779345169,0,68.0149173182806,1165.92371087024,-7789.98557612386,-13.7334430726072,477.177616237751,0.0638503508611239,-142.23781819354,-2424.73622874833,-8464.99673386309,-22.9361406863663,465.37546395601,0.0559155919773255,STL,STL,STL_0012_ICR-2,STL_0012_ICR.2_p1.corems,river,20210723,44.5815,-75.679,,,,,,,,,,,,,,,,3.51,NPOC,,,,,,,,,,,,,
STL_0012_ICR.3_p08.corems,16.7027064312352,25.0255043072653,6.50231858813878,0.214252125622229,0.425161033783246,0,345.244028177785,0.0221402918104233,0.147213826326818,5.29708034041367,-1.20523824772512,-1.84465140713059,78.4894853050848,344.858515125,0.241246607083934,-0.638227554564378,0.39427511701663,1.51742015361128,0.0124528265040897,0,78.4894853050848,1307.21517537029,-8184.16627828048,-40.956521185058,472.280222498881,0.0560939612592881,-147.346284938944,-2458.52364797727,-8859.9302161212,-50.3370219702796,465.27508566591,0.049651118312339,STL,STL,STL_0012_ICR-3,STL_0012_ICR.3_p08.corems,river,20210723,44.5815,-75.679,,,,,,,,,,,,,,,,2.64,NPOC,,,,,,,,,,,,,
STL_0013_ICR.1_p1.corems,17.2762272073628,22.2686046370025,9.19310159559415,0.200991906625183,0.0472341119568576,0,380.117859185004,0.0172500273773707,0.198677448863296,7.24242084217409,-1.95068075342006,-2.1989067720021,65.0188239679172,379.693399219175,0.304935711058267,-0.165572770804112,0.541889512039309,1.29342026476356,0.0129699098334038,0,65.0188239679172,1132.52778941169,-7739.2460561187,-6.36695497115155,478.344264590261,0.0653410968594821,-140.950519363516,-2439.83866693545,-8423.35451688808,-15.7341851735737,465.437196842361,0.0570697884491575,STL,STL,STL_0013_ICR-1,STL_0013_ICR.1_p1.corems,river,20210723,44.79,-75.3714,,,,,,,,,,,,,,,,2.76,NPOC,,,,,,,,,,,,,
STL_0013_ICR.2_p08.corems,17.2420332220626,21.999822104175,9.37597810968241,0.159473176800824,0.0472554127246813,0,381.78103100872,0.0139301022956522,0.205759735389296,7.32185875837546,-2.05411935130691,-2.26084794083242,64.1979172878702,381.35471176874,0.309956437503939,-0.136769027644564,0.552575377914973,1.2794746805426,0.0104702403504295,0,64.1979172878702,1115.93026586569,-7676.46530563623,-6.53921229576208,478.25519887461,0.066018771964901,-140.740163174808,-2430.8876306752,-8360.86726914848,-16.3175127316644,465.359234712625,0.0575600846381094,STL,STL,STL_0013_ICR-2,STL_0013_ICR.2_p08.corems,river,20210723,44.79,-75.3714,,,,,,,,,,,,,,,,,NPOC,,,,,,,,,,,,,
STL_0013_ICR.3_p08.corems,17.5299198467765,22.3451029388041,9.18201598328737,0.124228474145267,0.0486131776992979,0,382.031121901317,0.0147784827271252,0.211389218007765,7.41948261444705,-1.76253336884035,-1.93537502068491,65.5124100072396,381.604524602403,0.306692554728501,-0.182891579201386,0.531858403292998,1.276492511829,0.00805271851134482,0,65.5124100072396,1157.12220380088,-7879.22246111379,-7.34521533364872,478.338005875536,0.0641881536487825,-141.356678485646,-2482.07933687633,-8576.58901099209,-16.8525739405476,465.333640762441,0.0560093281772215,STL,STL,STL_0013_ICR-3,STL_0013_ICR.3_p08.corems,river,20210723,44.79,-75.3714,,,,,,,,,,,,,,,,2.93,NPOC,,,,,,,,,,,,,
STL_0014_ICR.1_p08.corems,17.182455092996,21.9063685618344,9.22974276380857,0.169620932653268,0.0294262931068703,0,378.204952663767,0.0138587191828562,0.206241083585686,7.31408127840545,-1.91566148540311,-2.11470871116325,64.5822804293422,377.782627462956,0.305420872333201,-0.150255453661124,0.545594008483473,1.27881941317939,0.0112384377129654,0,64.5822804293422,1118.1583201339,-7670.05473486942,-5.7795542207342,478.659377430125,0.0659979382464101,-140.814328532736,-2423.79977470021,-8350.95853944543,-15.2612383286797,465.38360877175,0.0575732453038273,STL,STL,STL_0014_ICR-1,STL_0014_ICR.1_p08.corems,river,20210723,44.8976,-75.17,,,,,,,,,,,,,,,,2.84,NPOC,,,,,,,,,,,,,
STL_0014_ICR.2_p08.corems,17.4195831085915,22.138849610516,9.27796008403561,0.143664870332707,0.0355611912225453,0,381.888701729175,0.0146398452761823,0.210265152077271,7.42199073849988,-1.85596934553574,-2.03519540709099,64.7568581001199,381.462262828416,0.308211733547118,-0.156380985969118,0.541659542971895,1.27236082963088,0.00944371914797317,0,64.7568581001199,1138.20401624461,-7791.16203956665,-6.49848186121172,478.445771831212,0.0651165154745544,-140.969559303179,-2460.46359845804,-8482.82217693931,-16.0848982826226,465.373982164058,0.0567938782322808,STL,STL,STL_0014_ICR-2,STL_0014_ICR.2_p08.corems,river,20210723,44.8976,-75.17,,,,,,,,,,,,,,,,3.37,NPOC,,,,,,,,,,,,,
STL_0014_ICR.3_p08.corems,17.2507515500953,23.5089776016199,8.54653239536353,0.182684356160931,0.121624693190201,0,372.842470041424,0.0203147634342283,0.18307163674093,6.58760492736587,-1.95892746799767,-2.26323651734881,69.3470990587751,372.426133534781,0.285952162139399,-0.317442072237721,0.503147704520276,1.37202972573456,0.0111333285415346,0,69.3470990587751,1200.52171361759,-7958.15252826795,-16.1388013464742,476.704530711239,0.0620510079974221,-142.957830769592,-2467.93264523358,-8644.94678525067,-25.330971834675,465.371810794067,0.0543981270737044,STL,STL,STL_0014_ICR-3,STL_0014_ICR.3_p08.corems,river,20210723,44.8976,-75.17,,,,,,,,,,,,,,,,2.91,NPOC,,,,,,,,,,,,,
STL_0015_ICR.1_p08.corems,17.5007439016905,22.0722552998858,9.35495578315835,0.136969524178566,0.0295405257820503,0,383.740806894986,0.0165260083691298,0.215609211000523,7.53310101383683,-1.82185476932152,-1.98836481928213,64.3665889074726,383.312298840619,0.311045973610919,-0.142687330086762,0.544215507083339,1.26164201148993,0.00895040241860369,0,64.3665889074726,1137.72694939181,-7808.35239003267,-5.84995044599252,478.395661934129,0.0652740846298123,-140.8192965729,-2469.65141449205,-8503.28216910692,-15.5117594799509,465.346742432563,0.0569157042172988,STL,STL,STL_0015_ICR-1,STL_0015_ICR.1_p08.corems,river,20210723,44.8463,-75.2996,,,,,,,,,,,,,,,,2.94,NPOC,,,,,,,,,,,,,
